metric,metric_group,metric_direction,model,budget_start,budget_end,budget_start_tokens,budget_end_tokens,paired_seed_count,mean_delta,std_delta,standard_error_delta,ci95_low_delta,ci95_high_delta,median_delta,min_delta,max_delta,mean_relative_percent,median_relative_percent,directional_improvement_seed_count,directional_worsening_seed_count,unchanged_seed_count,exact_sign_flip_p_value_for_delta
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,10m,25m,10000000,25000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,25m,50m,25000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,10m,50m,10000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,10m,25m,10000000,25000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,25m,50m,25000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,10m,50m,10000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,10m,25m,10000000,25000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,25m,50m,25000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,mtp_121m,10m,50m,10000000,50000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
activated_parameters_per_token,efficiency,descriptive_only,moe_220m,10m,25m,10000000,25000000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,1.0
