metric,metric_group,metric_direction,model,seed,value_10m,value_25m,value_50m,delta_25m_minus_10m,delta_50m_minus_25m,delta_50m_minus_10m,relative_50m_vs_10m_percent,slope_per_log10_token,monotone_decreasing,monotone_increasing
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,1337,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,2027,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,31415,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,4441,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,5501,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,6173,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,8191,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,10007,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,11213,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,dense_121m,12721,120945408.0,120945408.0,120945408.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,1337,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,2027,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
activated_parameters_per_token,efficiency,descriptive_only,mla_121m,31415,137460480.0,137460480.0,137460480.0,0.0,0.0,0.0,0.0,0.0,True,True
